size_kb,T_upload,T_download,T_total
29500.0,347.9728698730469,466.2899971008301,814.262866973877
30000.0,494.2009449005127,465.695858001709,959.8968029022217
30500.0,361.3405227661133,510.2410316467285,871.5815544128418
31000.0,388.51094245910645,527.7218818664551,916.2328243255615
31500.0,380.72705268859863,516.2074565887451,896.9345092773438
32000.0,416.52822494506836,461.3947868347168,877.9230117797852
32500.0,421.96035385131836,450.9274959564209,872.8878498077393
33000.0,430.7982921600342,456.55274391174316,887.3510360717773
33500.0,376.4841556549072,579.7061920166016,956.1903476715088
34000.0,471.5228080749512,543.8592433929443,1015.3820514678955
34500.0,444.44918632507324,590.0912284851074,1034.5404148101807
35000.0,429.46648597717285,550.4598617553711,979.926347732544
35500.0,414.0181541442871,590.8396244049072,1004.8577785491943
36000.0,466.4607048034668,603.3210754394531,1069.78178024292
36500.0,437.06440925598145,596.684455871582,1033.7488651275635
37000.0,469.6626663208008,587.3613357543945,1057.0240020751953
37500.0,605.2045822143555,632.0669651031494,1237.2715473175049
38000.0,503.30209732055664,595.4587459564209,1098.7608432769775
38500.0,486.4387512207031,686.3131523132324,1172.7519035339355
39000.0,579.65087890625,661.7403030395508,1241.3911819458008
39500.0,463.972806930542,680.283784866333,1144.256591796875
40000.0,581.9087028503418,666.4152145385742,1248.323917388916
40500.0,737.2174263000488,652.4338722229004,1389.6512985229492
41000.0,569.6241855621338,691.1702156066895,1260.7944011688232
41500.0,598.5989570617676,722.1605777740479,1320.7595348358154
42000.0,626.6961097717285,683.265209197998,1309.9613189697266
42500.0,480.8042049407959,685.0745677947998,1165.8787727355957
43000.0,534.306526184082,670.4709529876709,1204.777479171753
43500.0,578.9508819580078,583.8990211486816,1162.8499031066895
44000.0,599.6439456939697,674.0787029266357,1273.7226486206055
44500.0,629.0345191955566,654.3598175048828,1283.3943367004395
45000.0,643.1634426116943,650.5749225616455,1293.7383651733398
45500.0,553.6682605743408,664.6575927734375,1218.3258533477783
46000.0,661.8287563323975,697.3655223846436,1359.194278717041
46500.0,693.2783126831055,699.2220878601074,1392.500400543213
47000.0,603.2271385192871,776.8785953521729,1380.10573387146
47500.0,620.4581260681152,747.2565174102783,1367.7146434783936
48000.0,550.8003234863281,733.6454391479492,1284.4457626342773
48500.0,724.5965003967285,730.8869361877441,1455.4834365844727
49000.0,586.857795715332,728.6994457244873,1315.5572414398193
49500.0,656.8281650543213,798.459529876709,1455.2876949310303
50000.0,706.043004989624,779.6914577484131,1485.734462738037
50500.0,677.962064743042,796.2658405303955,1474.2279052734375
51000.0,560.5964660644531,792.9592132568359,1353.555679321289
51500.0,654.8011302947998,808.9947700500488,1463.7959003448486
52000.0,619.3268299102783,881.425142288208,1500.7519721984863
52500.0,767.3497200012207,817.3322677612305,1584.6819877624512
53000.0,819.2808628082275,805.3934574127197,1624.6743202209473
53500.0,753.6435127258301,896.869421005249,1650.512933731079
54000.0,708.5833549499512,859.9765300750732,1568.5598850250244
54500.0,648.8826274871826,834.5043659210205,1483.3869934082031
55000.0,707.9806327819824,844.2318439483643,1552.2124767303467
55500.0,656.0773849487305,813.8697147369385,1469.947099685669
56000.0,922.6584434509277,858.381986618042,1781.0404300689697
56500.0,862.6561164855957,820.2614784240723,1682.917594909668
57000.0,807.8486919403076,823.1120109558105,1630.9607028961182
57500.0,634.2215538024902,903.9902687072754,1538.2118225097656
58000.0,719.7616100311279,939.272403717041,1659.034013748169
58500.0,761.9085311889648,974.9841690063477,1736.8927001953125
59000.0,755.0384998321533,990.0863170623779,1745.1248168945312
59500.0,783.4086418151855,913.020133972168,1696.4287757873535
60000.0,773.7081050872803,964.3316268920898,1738.0397319793701
60500.0,735.3594303131104,998.3537197113037,1733.713150024414
61000.0,808.5741996765137,913.2246971130371,1721.7988967895508
61500.0,848.44970703125,995.7330226898193,1844.1827297210693
62000.0,863.3630275726318,994.1315650939941,1857.494592666626
62500.0,841.7575359344482,1022.9847431182861,1864.7422790527344
63000.0,861.7289066314697,1108.187198638916,1969.9161052703857
63500.0,832.9181671142578,976.0646820068359,1808.9828491210938
64000.0,787.7726554870605,939.122200012207,1726.8948554992676
64500.0,853.8949489593506,1051.8543720245361,1905.7493209838867
65000.0,898.4007835388184,1025.9044170379639,1924.3052005767822
65500.0,871.211051940918,1082.9119682312012,1954.1230201721191
66000.0,940.2625560760498,1148.5517024993896,2088.8142585754395
66500.0,1009.2065334320068,1061.2304210662842,2070.436954498291
67000.0,779.1790962219238,1046.8699932098389,1826.0490894317627
67500.0,924.5500564575195,1023.5989093780518,1948.1489658355713
68000.0,903.895378112793,928.025484085083,1831.920862197876
68500.0,771.3541984558105,1100.6948947906494,1872.04909324646
69000.0,970.5660343170166,1069.098949432373,2039.6649837493896
69500.0,892.2975063323975,1204.962968826294,2097.2604751586914
70000.0,939.6100044250488,1055.0856590270996,1994.6956634521484
70500.0,891.1371231079102,1077.1899223327637,1968.3270454406738
71000.0,1122.74169921875,1018.1503295898438,2140.8920288085938
71500.0,905.9863090515137,998.7936019897461,1904.7799110412598
72000.0,967.3407077789307,1034.1594219207764,2001.500129699707
72500.0,964.9877548217773,1022.8939056396484,1987.8816604614258
73000.0,998.8503456115723,1198.8298892974854,2197.6802349090576
73500.0,1059.629201889038,1142.2438621520996,2201.8730640411377
74000.0,956.21657371521,1163.0222797393799,2119.23885345459
74500.0,886.8944644927979,1043.9231395721436,1930.8176040649414
75000.0,766.0243511199951,972.9983806610107,1739.0227317810059
75500.0,1018.9840793609619,1173.8193035125732,2192.803382873535
76000.0,892.524242401123,1254.8365592956543,2147.3608016967773
76500.0,1094.6252346038818,1316.81489944458,2411.440134048462
77000.0,952.0101547241211,1156.0437679290771,2108.0539226531982
77500.0,1119.1022396087646,1158.2872867584229,2277.3895263671875
78000.0,1136.7075443267822,1226.693868637085,2363.401412963867
78500.0,1008.5844993591309,1105.8330535888672,2114.417552947998
79000.0,970.8211421966553,1304.039716720581,2274.8608589172363
79500.0,958.4243297576904,1120.260238647461,2078.6845684051514
80000.0,1096.9338417053223,1114.837646484375,2211.7714881896973
80500.0,1082.8351974487305,1148.6530303955078,2231.4882278442383
81000.0,1069.761037826538,1195.2228546142578,2264.983892440796
81500.0,951.085090637207,1349.5099544525146,2300.5950450897217
82000.0,1003.2050609588623,1298.598051071167,2301.8031120300293
82500.0,1202.8794288635254,1477.351188659668,2680.2306175231934
83000.0,1335.0753784179688,1276.8974304199219,2611.9728088378906
83500.0,1115.793228149414,1605.2141189575195,2721.0073471069336
84000.0,922.9998588562012,1352.529764175415,2275.529623031616
84500.0,1050.1563549041748,1295.0334548950195,2345.1898097991943
85000.0,1086.6763591766357,1393.2015895843506,2479.8779487609863
85500.0,1284.4207286834717,1435.973882675171,2720.3946113586426
86000.0,1142.4651145935059,1474.872350692749,2617.337465286255
86500.0,1123.584270477295,1352.3142337799072,2475.898504257202
87000.0,1000.2782344818115,1522.3760604858398,2522.6542949676514
87500.0,1278.8925170898438,1357.0058345794678,2635.8983516693115
88000.0,1171.745777130127,1289.5822525024414,2461.3280296325684
88500.0,1022.3476886749268,1381.4747333526611,2403.822422027588
89000.0,1172.6319789886475,1371.216058731079,2543.8480377197266
89500.0,1303.7004470825195,1330.3728103637695,2634.073257446289
90000.0,1253.4434795379639,1346.6742038726807,2600.1176834106445
90500.0,1224.8961925506592,1359.724760055542,2584.620952606201
91000.0,1192.3458576202393,1461.188793182373,2653.5346508026123
91500.0,1330.3699493408203,1480.4832935333252,2810.8532428741455
92000.0,1251.4326572418213,1427.2143840789795,2678.647041320801
92500.0,1328.1769752502441,1378.126621246338,2706.303596496582
93000.0,1020.8635330200195,1381.6535472869873,2402.517080307007
93500.0,1181.7896366119385,1535.2511405944824,2717.040777206421
94000.0,1267.5580978393555,1624.3531703948975,2891.911268234253
94500.0,1227.1003723144531,1541.9952869415283,2769.0956592559814
95000.0,1525.36940574646,1427.6423454284668,2953.0117511749268
95500.0,1099.6184349060059,1458.8980674743652,2558.516502380371
96000.0,1309.7918033599854,1454.7183513641357,2764.510154724121
96500.0,1336.9145393371582,1880.0957202911377,3217.010259628296
97000.0,1411.2305641174316,1585.533857345581,2996.7644214630127
97500.0,1346.130132675171,1520.8499431610107,2866.9800758361816
98000.0,1278.120517730713,1560.0485801696777,2838.1690979003906
98500.0,1256.6986083984375,1425.9247779846191,2682.6233863830566
99000.0,1313.380479812622,1581.7241668701172,2895.1046466827393
99500.0,1336.6615772247314,1496.7749118804932,2833.4364891052246
100000.0,1406.2628746032715,1574.913740158081,2981.1766147613525
